Site,Invoice Number,Invoice Date,Bill To,Ship-To,Cust Name,Sales Order,Line,Purchase Order,Channel,Product Line,Customer Item,Item Number,Part Description,Unit of Measure,Currency,Cost,Sales List Price,Discount Percent,Discount Amount,Quantity Invoiced,NET_AMOUNT_CURRENCY,Net Amount Base,Tax Total,CGST,SGST,IGST,TCS,SGST_PCT,CGST_PCT,IGST_PCT,TCS_PCT,Total Invoice Value,Tax Zone,Exchange Rate
AM1005,25CN01598,45939,1231,1231,MARUTI SUZUKI INDIA Ltd-II,CI2129,2,1911277,PRODUCT,ABRM,73112M75T00,659410400A,"Chute, RH, SUZUKI U39P P",EA,INR,165.54,194.16,0,0,150,29124,29124,5242.32,2621.16,2621.16,0,0,9,9,0,0,34366.32,HR,1
AM2005,2520609277,45939,1231,1231,MARUTI SUZUKI INDIA Ltd-II,SO243012,9,1911277,PRODUCT,SBFG,84940M69R13-BHE,641704700H,"R230.2 RP LLD, FRONT, TO FIXED LH - YCA - 84940-",EA,INR,843.41,1214.46,0,0,80,97156.8,97156.8,17488.22,8744.11,8744.11,0,0,9,9,0,0,114645.02,HR,1
AM2005,2520609401,45939,1642,1642,MARUTI SUZUKI INDIA Ltd,SO243020,8,1911278,PRODUCT,SBFG,84940M69R13-BHE,641704700H,"R230.2 RP LLD, FRONT, TO FIXED LH - YCA - 84940-",EA,INR,843.41,1214.46,0,0,200,242892,242892,43720.56,21860.28,21860.28,0,0,9,9,0,0,286612.56,HR,1
AM1005,2510706871,45939,1003,1003,KRISHNA MARUTI LTD SEATING,SO243000,4,5710000815,PRODUCT,ABFG,YHA152010(KS03),658872100B,"YHC SAB LHFSAB, 1 CHAMBER",EA,INR,588.75,1092.54,0,0,50,54627,54627,9832.86,4916.43,4916.43,0,0,9,9,0,0,64459.86,HR,1
AG2002,2526203101,45939,1238,1238,SUZUKI MOTORS GUJARAT PVT LT,SO243044,8,1251467,PRODUCT,SBFG,84920M75T10-BHE,664395200C,"YED, LHD, BLACK, BHE, 84R230.2 RP LLD, RH, SUZUK",EA,INR,843.74,1158.34,0,0,100,115834,115834,20850.12,10425.06,10425.06,0,0,9,9,0,0,136684.12,GJ,1
AM1005,2510706872,45939,1003,1003,KRISHNA MARUTI LTD SEATING,SO243001,5,5710000816,PRODUCT,ABFG,YHA152011(KS03),658872100C,"YHC SAB RHFSAB, 1 CHAMBER",EA,INR,588.75,1092.54,0,0,45,49164.3,49164.3,8849.57,4424.79,4424.79,0,0,9,9,0,0,58013.87,HR,1
AM2005,2520609402,45939,1642,1642,MARUTI SUZUKI INDIA Ltd,SO243021,10,1911279,PRODUCT,SBFG,84940M69R14-BHE,641704700I,"R230.2 RP LLD, FRONT, TO FIXED RH - YCA - 84940-",EA,INR,843.41,1214.46,0,0,180,218602.8,218602.8,39348.5,19674.25,19674.25,0,0,9,9,0,0,257951.3,HR,1
AG2002,2526203102,45939,1238,1238,SUZUKI MOTORS GUJARAT PVT LT,SO243045,12,1251468,PRODUCT,SBFG,84920M75T11-BHE,664395200D,"YED, LHD, BLACK, BHE, 84R230.2 RP LLD, LH, SUZUK",EA,INR,843.74,1158.34,0,0,95,110042.3,110042.3,19807.61,9903.81,9903.81,0,0,9,9,0,0,129849.91,GJ,1
AM1005,25CN01599,45939,1231,1231,MARUTI SUZUKI INDIA Ltd-II,CI2130,3,1911280,PRODUCT,ABRM,73112M75T01,659410400B,"Chute, LH, SUZUKI U39P P",EA,INR,165.54,194.16,0,0,125,24270,24270,4368.6,2184.3,2184.3,0,0,9,9,0,0,28638.6,HR,1
AM2005,2520609403,45939,1231,1231,MARUTI SUZUKI INDIA Ltd-II,SO243013,11,1911281,PRODUCT,SBFG,84940M69R15-BHE,641704700J,"R230.2 RP LLD, FRONT, VARIABLE LH - YCA - 84940-",EA,INR,843.41,1214.46,0,0,160,194313.6,194313.6,34976.45,17488.23,17488.23,0,0,9,9,0,0,229290.05,HR,1
